"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 06 13:51:47 GMT 2023","Sun Aug 06 13:51:47 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","rollbackATransaction","rollbackATransaction",""
"passed","Sun Aug 06 13:51:47 GMT 2023","Sun Aug 06 13:51:47 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.SpaceShipTest","com.costa.luiz.testng.SpaceShipTest","checkMeasureToBeMetric","Check the measure to be metric",""
"failed","Sun Aug 06 13:51:47 GMT 2023","Sun Aug 06 13:51:47 GMT 2023","12","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","dontFixMe","dontFixMe",""
"passed","Sun Aug 06 13:51:47 GMT 2023","Sun Aug 06 13:51:47 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Sun Aug 06 13:51:47 GMT 2023","Sun Aug 06 13:51:47 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendCommunication","sendCommunication",""
"passed","Sun Aug 06 13:51:47 GMT 2023","Sun Aug 06 13:51:47 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Sun Aug 06 13:51:47 GMT 2023","Sun Aug 06 13:51:47 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateTransaction","validateTransaction",""
"passed","Sun Aug 06 13:51:47 GMT 2023","Sun Aug 06 13:51:47 GMT 2023","17","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateCard","validateCard",""
"passed","Sun Aug 06 13:51:47 GMT 2023","Sun Aug 06 13:51:47 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","brakes","brakes",""
"unknown","Sun Aug 06 13:51:47 GMT 2023","Sun Aug 06 13:51:47 GMT 2023","2","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","entertainmentSystem","entertainmentSystem",""
"passed","Sun Aug 06 13:51:47 GMT 2023","Sun Aug 06 13:51:47 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Sun Aug 06 13:51:47 GMT 2023","Sun Aug 06 13:51:47 GMT 2023","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Sun Aug 06 13:51:47 GMT 2023","Sun Aug 06 13:51:47 GMT 2023","1","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
